Seed,Condition,Generation,SurvivalRate,ActionEntropy,ANNEX,GoldilocksStatus,AvgNodes,AvgEdges
456,Condition B (V6 Constrained 52 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition B (V6 Constrained 52 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
456,Condition C (V4 123 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,136.0,405.75
456,Condition C (V4 123 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,158.05,477.75
456,Condition C (V4 123 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,179.05,550.5
456,Condition C (V4 123 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,196.5,609.0
456,Condition C (V4 123 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,212.0,662.85
456,Condition C (V4 123 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,228.5,719.1
456,Condition C (V4 123 nodes),3500,0.95,0.0,1,ACCEPT,242.05,779.4
456,Condition C (V4 123 nodes),4000,1.0,0.0,1,REJECT_TOO_EASY,262.5,843.65
456,Condition C (V4 123 nodes),4500,1.0,0.0,1,REJECT_TOO_EASY,280.45,905.55
456,Condition C (V4 123 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,289.95,953.9
456,Condition D (Naive 12 nodes),500,0.9,0.9997,1,ACCEPT,21.9,39.9
456,Condition D (Naive 12 nodes),1000,1.0,0.8989,1,REJECT_TOO_EASY,34.0,80.1
456,Condition D (Naive 12 nodes),1500,0.65,0.6909,1,REJECT_TOO_EASY,47.15,131.7
456,Condition D (Naive 12 nodes),2000,0.5,0.9666,1,REJECT_TOO_EASY,61.0,193.05
456,Condition D (Naive 12 nodes),2500,0.5,0.0,1,REJECT_TOO_EASY,75.0,244.2
456,Condition D (Naive 12 nodes),3000,0.5,0.1944,1,REJECT_TOO_EASY,84.35,288.75
456,Condition D (Naive 12 nodes),3500,0.5,0.2423,1,REJECT_TOO_EASY,98.9,336.35
456,Condition D (Naive 12 nodes),4000,0.3,0.0,1,REJECT_TOO_EASY,108.05,369.2
456,Condition D (Naive 12 nodes),4500,0.3,0.0,1,REJECT_TOO_EASY,120.55,414.65
456,Condition D (Naive 12 nodes),5000,0.2,0.3141,1,ACCEPT,127.65,441.65
789,Condition A (V5 467 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,478.2,1567.7
789,Condition A (V5 467 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,501.3,1627.65
789,Condition A (V5 467 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,510.0,1665.05
789,Condition A (V5 467 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,532.2,1721.8
789,Condition A (V5 467 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,556.55,1783.2
789,Condition A (V5 467 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,569.55,1827.1
789,Condition A (V5 467 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,590.1,1873.3
789,Condition A (V5 467 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,608.15,1919.15
789,Condition A (V5 467 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,621.05,1952.7
789,Condition A (V5 467 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,635.3,1990.75
789,Condition B (V6 Constrained 52 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
