generation,gac,mean_novelty,archive_size
320,13.44,0.6354214862505837,200
321,13.84,0.6077403914856294,200
322,14.66,0.6048992271461158,200
323,13.24,0.5805045909226152,200
324,14.34,0.5975589961245517,200
325,15.38,0.6155818973157883,200
326,15.36,0.5648350773329343,200
327,13.7,0.5109248587399415,200
328,14.38,0.5009836597632965,200
329,13.44,0.5306292669374407,200
330,14.3,0.5555994099326732,200
331,14.94,0.5693577489783758,200
332,12.66,0.5561057754649895,200
333,12.44,0.5637846448448057,200
334,14.3,0.5847373580417561,200
335,13.42,0.5976695997850268,200
336,10.96,0.5798376223053091,200
337,13.12,0.5653846101037259,200
338,11.76,0.5171157595677515,200
339,12.66,0.5079013800721899,200
340,12.74,0.5291109188349159,200
341,12.36,0.5244132558139841,200
342,13.76,0.493920804567839,200
343,13.04,0.5315512586707922,200
344,15.12,0.549357128765596,200
345,14.74,0.5111416513368693,200
346,14.96,0.5180518528280721,200
347,15.08,0.5214175918314878,200
348,16.62,0.566098263964285,200
349,14.18,0.5292611148621148,200
350,16.32,0.4905581466921782,200
351,13.06,0.485545483087432,200
352,14.8,0.47502450177241917,200
353,13.96,0.5054624254227842,200
354,11.74,0.4943576403352713,200
355,12.5,0.49576769449530933,200
356,12.0,0.5520144077894205,200
357,12.26,0.5404133951508168,200
358,10.06,0.5150759684660506,200
359,11.9,0.5333618480431971,200
360,12.78,0.5366894675754874,200
361,13.76,0.49259207298948704,200
362,14.36,0.5464812947060146,200
363,13.5,0.5389053056552329,200
364,15.94,0.5799278242656012,200
365,15.6,0.5512537814586266,200
366,16.74,0.551713544420203,200
367,15.1,0.5479219258495734,200
368,16.08,0.5481139175759904,200
369,15.92,0.6223147775612787,200
370,16.14,0.6181394651485597,200
371,16.16,0.6124667238468241,200
372,15.04,0.5999919158814465,200
373,15.54,0.5830332993691152,200
374,15.12,0.6088637881256225,200
375,12.54,0.5845760072924605,200
376,15.56,0.5901280836455305,200
377,12.4,0.5999462160334231,200
378,13.82,0.5985966360884363,200
379,13.32,0.5627661067059002,200
380,12.18,0.5806387332876607,200
381,9.5,0.5434871161658986,200
382,11.78,0.48846034701406005,200
383,10.0,0.48746031631728315,200
384,11.36,0.5182592616647326,200
385,10.96,0.5495669320830159,200
386,10.6,0.5162168577298211,200
387,11.42,0.562874149864016,200
388,11.52,0.5557596960122023,200
389,13.16,0.5748679120018824,200
390,14.1,0.5532877291552887,200
391,13.36,0.49971855731335163,200
392,13.08,0.5093480664797386,200
393,13.58,0.5277995852128279,200
394,13.48,0.5132836119405243,200
395,13.58,0.5535804967046607,200
396,12.02,0.5191074399205386,200
397,11.88,0.49744477507559787,200
398,9.9,0.5388218831039177,200
399,10.62,0.5502490762601946,200
400,7.44,0.53150075566479,200
401,8.82,0.544825645910029,200
402,9.64,0.5466155409076449,200
403,8.96,0.5322710663596202,200
404,9.16,0.5336572675498876,200
405,8.32,0.5666451610176239,200
406,8.26,0.5497136374665677,200
407,9.62,0.5697122488743812,200
408,8.36,0.5294688538118228,200
409,9.82,0.5654973696010496,200
410,9.68,0.5510546482480069,200
411,9.96,0.5167138596271169,200
412,10.52,0.5437672819419965,200
413,8.98,0.5994805118819836,200
414,9.04,0.5743892890267474,200
415,9.38,0.6121769113024642,200
416,8.7,0.6427075494670617,200
417,8.46,0.5619743302702637,200
418,9.0,0.5578785595864371,200
419,9.1,0.5571571940714091,200
420,9.94,0.5774242075867903,200
421,9.7,0.4952666129882507,200
422,10.48,0.4912659017032353,200
423,10.68,0.4774711938147822,200
424,10.48,0.5149049602027584,200
425,10.76,0.509393768041533,200
426,10.52,0.4676775929504457,200
427,10.6,0.48145246444138834,200
428,10.94,0.5164482879583454,200
429,10.66,0.5215451921247751,200
430,11.98,0.5336938525165332,200
431,11.42,0.5141806792016536,200
432,11.52,0.4984575289449549,200
433,12.4,0.5033219433319728,200
434,10.68,0.5203824897596407,200
435,13.3,0.5148711622112547,200
436,12.58,0.5042551940979981,200
437,12.46,0.48755279065095886,200
438,13.18,0.5427214550065973,200
439,13.34,0.5701098465686095,200
440,12.62,0.6193360924891523,200
441,13.46,0.6294692441120796,200
442,12.9,0.6688967376631265,200
443,12.14,0.6006185736942931,200
444,11.5,0.5890826783794019,200
445,11.12,0.5737155986000569,200
446,10.04,0.5436655334073445,200
447,11.56,0.5999336291543463,200
448,10.54,0.5752768014374212,200
449,10.18,0.5435485133979294,200
450,10.94,0.559431455765671,200
451,9.38,0.5002148943361392,200
452,9.38,0.5230182365584019,200
453,8.68,0.5413053958586032,200
