generation,median,p25,p75,baseline
5900,2.74468085106383,2.716090425531915,3.0106382978723403,novelty_search
5950,2.7291666666666665,2.3445833333333335,2.734583333333333,novelty_search
6000,2.857142857142857,2.5685714285714285,2.928571428571429,novelty_search
6050,2.5106382978723403,2.31781914893617,2.8108747044917255,novelty_search
6100,2.5833333333333335,2.567176870748299,2.628623188405797,novelty_search
6150,2.0408163265306123,1.9891581632653061,2.1104081632653062,novelty_search
6200,2.68,2.166530612244898,2.756666666666667,novelty_search
6250,2.2,2.0300000000000002,2.273469387755102,novelty_search
6300,1.9,1.79,2.164285714285714,novelty_search
6350,2.7142857142857144,2.347142857142857,3.0379939209726445,novelty_search
6400,2.795918367346939,2.75795918367347,2.8679591836734692,novelty_search
6450,2.795918367346939,2.3279591836734697,3.2551020408163267,novelty_search
6500,2.2857142857142856,1.9628571428571426,2.826530612244898,novelty_search
6550,2.8085106382978724,2.6808510638297873,3.0042553191489363,novelty_search
6600,3.2448979591836733,2.5306122448979593,3.2624489795918366,novelty_search
6650,2.52,2.430212765957447,2.8954166666666667,novelty_search
6700,2.62,2.37,2.93,novelty_search
6750,2.5,2.2,2.5904255319148937,novelty_search
6800,2.891304347826087,2.843611357586513,2.9229249011857705,novelty_search
6850,2.0,1.8399999999999999,2.5666666666666664,novelty_search
6900,2.8,2.65,3.247826086956522,novelty_search
6950,2.347826086956522,2.153913043478261,2.603913043478261,novelty_search
7000,2.42,2.3,2.5300000000000002,novelty_search
7050,2.7291666666666665,2.3945833333333333,3.060235507246377,novelty_search
7100,2.52,2.3899999999999997,2.8933333333333335,novelty_search
7150,2.86,2.48,3.006086956521739,novelty_search
7200,2.1,2.091666666666667,2.33125,novelty_search
7250,2.877551020408163,2.458775510204082,2.9387755102040813,novelty_search
7300,2.326530612244898,2.063265306122449,3.100765306122449,novelty_search
7350,2.46,2.29,2.5,novelty_search
7400,2.18,2.08,2.31,novelty_search
7450,3.225,2.7824999999999998,3.27554347826087,novelty_search
7500,2.8,2.3899999999999997,2.9851063829787234,novelty_search
7550,2.723404255319149,2.4417021276595747,2.7659574468085104,novelty_search
7600,2.5,2.49,2.5153061224489797,novelty_search
7650,2.625,2.1925,2.822916666666667,novelty_search
7700,2.34,2.2312244897959186,2.496530612244898,novelty_search
7750,2.4468085106382977,2.413404255319149,2.473404255319149,novelty_search
7800,1.82,1.79,2.2875510204081633,novelty_search
7850,2.7555555555555555,2.7,2.7631944444444443,novelty_search
7900,2.44,2.3762499999999998,2.731111111111111,novelty_search
7950,2.74,2.37,2.8087755102040814,novelty_search
8000,2.4468085106382977,2.183404255319149,2.5879875886524824,novelty_search
8050,2.42,1.99,3.1036170212765954,novelty_search
8100,2.56,2.5248979591836735,2.5700000000000003,novelty_search
8150,2.68,2.3295833333333333,2.9000000000000004,novelty_search
8200,2.24,2.12,2.26,novelty_search
8250,2.0,1.88,2.33,novelty_search
8300,2.32,2.06,2.801304347826087,novelty_search
8350,2.2,1.94,2.7111111111111112,novelty_search
8400,2.14,2.0700000000000003,2.984634146341463,novelty_search
8450,2.36,2.03,3.006530612244898,novelty_search
